awayTeam,homeTeam
Minnesota Twins,Toronto Blue Jays
Arizona Diamondbacks,Baltimore Orioles
Chicago Cubs,Pittsburgh Pirates
Washington Nationals,Boston Red Sox
Atlanta Braves,New York Mets
Philadelphia Phillies,Miami Marlins
New York Yankees,Tampa Bay Rays
Houston Astros,Detroit Tigers
Cleveland Guardians,Chicago White Sox
Cincinnati Reds,San Francisco Giants
St. Louis Cardinals,Milwaukee Brewers
Texas Rangers,Colorado Rockies
Los Angeles Dodgers,San Diego Padres
Kansas City Royals,Los Angeles Angels
Oakland Athletics,Seattle Mariners
